Type;Date;Price;
0;15.01.2009 18:11:56;107.26;
0;15.01.2009 18:12:53;107.32;
1;15.01.2009 18:15:35;107.31;
1;15.01.2009 18:20:05;107;
1;15.01.2009 18:22:54;107.16;
1;15.01.2009 18:27:21;106.78;
1;15.01.2009 18:28:23;106.95;
0;15.01.2009 18:39:39;106.82;
0;15.01.2009 18:40:08;106.8;
1;15.01.2009 18:40:11;106.9;
0;15.01.2009 18:42:17;106.97;
0;15.01.2009 18:42:41;106.94;
0;15.01.2009 18:43:16;107.02;
0;15.01.2009 18:44:36;107.08;
0;15.01.2009 18:44:47;107.12;
0;16.01.2009 10:30:08;110.24;
0;16.01.2009 10:30:15;110.19;
1;16.01.2009 10:30:23;110.29;
0;16.01.2009 10:30:24;110.57;
0;16.01.2009 10:30:26;110.42;
0;16.01.2009 10:30:33;110.26;
0;16.01.2009 10:30:36;110.11;
0;16.01.2009 10:30:50;110.09;
1;16.01.2009 10:31:09;110.09;
0;16.01.2009 10:31:31;110.21;
0;16.01.2009 10:31:42;110.53;
0;16.01.2009 10:31:51;110.8;
1;16.01.2009 10:32:02;110.79;
0;16.01.2009 10:32:24;110.74;
0;16.01.2009 10:32:28;110.65;
0;16.01.2009 10:32:32;110.64;
0;16.01.2009 10:32:37;110.49;
0;16.01.2009 10:32:51;110.5;
0;16.01.2009 10:32:54;110.47;
0;16.01.2009 10:32:58;110.37;
0;16.01.2009 10:33:09;110.38;
0;16.01.2009 10:33:17;110.37;
1;16.01.2009 10:35:16;110.24;
1;16.01.2009 10:36:13;110.61;
0;16.01.2009 10:37:18;110.58;
0;16.01.2009 10:38:46;110.11;
0;16.01.2009 10:38:48;110.11;
0;16.01.2009 10:39:12;110;
1;16.01.2009 10:39:19;109.99;
0;16.01.2009 10:40:52;110.13;
1;16.01.2009 10:47:40;110.3;
0;16.01.2009 10:54:56;109.82;
1;16.01.2009 10:59:53;109.64;
1;16.01.2009 11:01:16;110.01;
0;16.01.2009 11:02:12;109.7;
0;16.01.2009 11:02:16;109.66;
0;16.01.2009 11:02:33;109.6;
0;16.01.2009 11:05:08;109.58;
0;16.01.2009 11:08:07;108.92;
1;16.01.2009 11:08:56;108.85;
0;16.01.2009 11:10:30;109.09;
1;16.01.2009 11:11:17;109.24;
1;16.01.2009 11:13:39;108.83;
0;16.01.2009 11:15:09;109.05;
0;16.01.2009 11:15:18;109.05;
0;16.01.2009 11:16:18;109.1;
0;16.01.2009 11:18:50;109.3;
0;16.01.2009 11:19:39;109.48;
0;16.01.2009 11:19:59;109.56;
1;16.01.2009 11:26:49;109.89;
0;16.01.2009 11:30:50;109.72;
0;16.01.2009 11:31:45;109.65;
1;16.01.2009 11:36:15;109.3;
0;16.01.2009 11:38:57;109.45;
0;16.01.2009 11:39:31;109.53;
0;16.01.2009 11:40:58;109.67;
0;16.01.2009 11:43:23;109.67;
0;16.01.2009 11:45:56;109.97;
0;16.01.2009 11:47:31;110.02;
0;16.01.2009 11:57:38;110.04;
0;16.01.2009 12:01:24;110.25;
0;16.01.2009 12:02:48;110.36;
1;16.01.2009 12:05:36;110.56;
0;16.01.2009 12:06:37;110.2;
1;16.01.2009 12:12:48;109.92;
1;16.01.2009 12:16:28;110.12;
1;16.01.2009 12:21:38;109.77;
1;16.01.2009 12:22:20;109.93;
0;16.01.2009 12:26:35;109.8;
0;16.01.2009 12:27:31;109.77;
0;16.01.2009 12:27:40;109.77;
0;16.01.2009 12:28:12;109.73;
0;16.01.2009 12:29:29;109.54;
0;16.01.2009 12:30:16;109.5;
1;16.01.2009 12:32:18;109.33;
0;16.01.2009 12:33:47;109.55;
0;16.01.2009 12:36:57;109.55;
0;16.01.2009 12:38:34;109.76;
0;16.01.2009 12:41:43;109.71;
0;16.01.2009 12:42:42;109.79;
0;16.01.2009 12:43:46;109.83;
0;16.01.2009 12:45:30;109.89;
1;16.01.2009 12:48:56;110.04;
0;16.01.2009 12:56:40;109.68;
0;16.01.2009 13:05:14;109.59;
1;16.01.2009 13:11:05;109.4;
0;16.01.2009 13:17:39;109.61;
0;16.01.2009 13:18:02;109.66;
0;16.01.2009 13:20:44;109.73;
1;16.01.2009 13:22:26;109.8;
0;16.01.2009 13:26:05;109.65;
0;16.01.2009 13:27:45;109.66;
0;16.01.2009 13:29:19;109.63;
1;16.01.2009 13:37:10;109.57;
0;16.01.2009 13:46:00;109.81;
1;16.01.2009 13:51:19;109.91;
0;16.01.2009 13:54:28;109.76;
0;16.01.2009 13:54:44;109.75;
0;16.01.2009 13:56:27;109.61;
0;16.01.2009 13:57:11;109.6;
0;16.01.2009 13:58:59;109.59;
1;16.01.2009 14:01:01;109.19;
0;16.01.2009 14:01:47;109.3;
0;16.01.2009 14:01:57;109.32;
0;16.01.2009 14:04:47;109.43;
0;16.01.2009 14:05:52;109.51;
0;16.01.2009 14:09:04;109.59;
0;16.01.2009 14:20:47;109.65;
0;16.01.2009 14:32:27;109.73;
0;16.01.2009 14:36:41;109.88;
0;16.01.2009 14:40:28;109.91;
0;16.01.2009 14:42:57;109.91;
0;16.01.2009 14:46:22;110.25;
0;16.01.2009 14:47:47;110.18;
0;16.01.2009 14:51:08;110.3;
0;16.01.2009 14:56:08;110.7;
1;16.01.2009 14:56:29;110.73;
0;16.01.2009 14:58:26;110.6;
0;16.01.2009 15:03:51;110.5;
1;16.01.2009 15:17:00;110.42;
1;16.01.2009 15:23:18;110.71;
1;16.01.2009 15:34:07;110.29;
0;16.01.2009 15:38:16;110.51;
0;16.01.2009 15:54:52;110.51;
1;16.01.2009 15:59:28;110.7;
1;16.01.2009 16:20:25;110.42;
0;16.01.2009 16:30:31;110.66;
1;16.01.2009 16:34:07;110.77;
0;16.01.2009 16:36:24;110.6;
1;16.01.2009 16:44:34;110.49;
0;16.01.2009 17:00:26;110.63;
0;16.01.2009 17:06:15;110.72;
0;16.01.2009 17:07:02;111.14;
0;16.01.2009 17:08:44;111.15;
1;16.01.2009 17:11:50;111.45;
0;16.01.2009 17:15:24;111.21;
1;16.01.2009 17:16:03;111.04;
0;16.01.2009 17:23:30;111.13;
0;16.01.2009 17:27:06;111.39;
0;16.01.2009 17:27:40;111.41;
0;16.01.2009 17:27:45;111.45;
0;16.01.2009 17:29:01;111.56;
1;16.01.2009 17:30:30;111.58;
1;16.01.2009 17:31:38;111.35;
1;16.01.2009 17:33:51;111.53;
0;16.01.2009 17:36:42;111.03;
0;16.01.2009 17:37:03;110.94;
0;16.01.2009 17:37:49;110.76;
1;16.01.2009 17:38:25;110.48;
0;16.01.2009 17:41:24;110.63;
0;16.01.2009 17:44:44;110.84;
1;16.01.2009 17:46:07;110.8;
0;16.01.2009 17:50:25;110.7;
0;16.01.2009 17:50:55;110.66;
1;16.01.2009 17:52:04;110.39;
1;16.01.2009 17:55:21;110.5;
1;16.01.2009 17:56:20;110.32;
1;16.01.2009 17:58:56;110.5;
0;16.01.2009 18:05:06;110.41;
0;16.01.2009 18:08:31;109.92;
0;16.01.2009 18:10:57;108.87;
1;16.01.2009 18:12:13;108.12;
1;16.01.2009 18:12:33;108.25;
1;16.01.2009 18:13:17;108.12;
0;16.01.2009 18:13:37;108.11;
1;16.01.2009 18:14:24;108.31;
0;16.01.2009 18:15:13;107.87;
1;16.01.2009 18:15:39;107.89;
0;16.01.2009 18:17:04;108.01;
0;16.01.2009 18:19:25;108.04;
0;16.01.2009 18:19:54;108.3;
0;16.01.2009 18:22:03;108.29;
1;16.01.2009 18:26:24;108.5;
1;16.01.2009 18:29:32;108.01;
0;16.01.2009 18:31:37;108.22;
1;16.01.2009 18:32:47;108.35;
0;16.01.2009 18:36:08;108.19;
0;16.01.2009 18:38:12;108.14;
0;16.01.2009 18:40:13;108.07;
0;16.01.2009 18:40:39;107.7;
0;16.01.2009 18:40:44;107.7;
1;16.01.2009 18:41:03;107.71;
0;16.01.2009 18:41:22;107.69;
0;16.01.2009 18:43:36;107.93;
0;19.01.2009 10:30:04;110.33;
1;19.01.2009 10:30:09;110.35;
0;19.01.2009 10:30:30;110.12;
0;19.01.2009 10:30:46;109.95;
0;19.01.2009 10:30:56;109.91;
1;19.01.2009 10:31:05;109.74;
0;19.01.2009 10:31:24;110.1;
0;19.01.2009 10:31:27;110.22;
1;19.01.2009 10:31:41;110.21;
0;19.01.2009 10:33:13;109.85;
0;19.01.2009 10:34:25;109.68;
0;19.01.2009 10:35:58;109.3;
1;19.01.2009 10:36:50;109.15;
1;19.01.2009 10:38:09;109.51;
1;19.01.2009 10:38:50;109.34;
0;19.01.2009 10:39:34;109.52;
0;19.01.2009 10:40:53;109.73;
0;19.01.2009 10:42:14;109.76;
0;19.01.2009 10:44:05;109.82;
0;19.01.2009 10:44:29;109.83;
0;19.01.2009 10:45:03;109.86;
0;19.01.2009 10:45:42;110.05;
0;19.01.2009 10:46:17;110.15;
0;19.01.2009 10:50:07;110.3;
0;19.01.2009 10:53:59;110.31;
1;19.01.2009 10:57:33;110.33;
0;19.01.2009 10:58:51;110.15;
0;19.01.2009 11:03:05;110.04;
0;19.01.2009 11:05:34;110;
0;19.01.2009 11:07:48;109.98;
1;19.01.2009 11:10:15;109.97;
0;19.01.2009 11:19:28;110.26;
1;19.01.2009 11:21:16;110.33;
0;19.01.2009 11:35:33;109.79;
0;19.01.2009 11:35:37;109.73;
1;19.01.2009 11:35:39;109.69;
1;19.01.2009 11:38:04;109.93;
0;19.01.2009 11:41:52;109.73;
1;19.01.2009 11:42:04;109.69;
0;19.01.2009 11:42:36;109.82;
0;19.01.2009 11:42:42;109.83;
0;19.01.2009 11:54:07;109.93;
1;19.01.2009 11:57:46;109.97;
0;19.01.2009 12:01:46;109.8;
0;19.01.2009 12:03:17;109.69;
0;19.01.2009 12:04:10;109.48;
0;19.01.2009 12:05:04;109.36;
0;19.01.2009 12:05:51;109.35;
1;19.01.2009 12:07:41;109.16;
0;19.01.2009 12:09:40;109.32;
0;19.01.2009 12:09:53;109.33;
0;19.01.2009 12:09:58;109.34;
0;19.01.2009 12:12:13;109.53;
1;19.01.2009 12:13:40;109.65;
0;19.01.2009 12:14:36;109.49;
0;19.01.2009 12:15:48;109.45;
0;19.01.2009 12:21:31;109.33;
0;19.01.2009 12:23:42;109.13;
0;19.01.2009 12:25:12;109;
0;19.01.2009 12:25:16;108.96;
1;19.01.2009 12:25:20;108.93;
0;19.01.2009 12:26:41;109.1;
0;19.01.2009 12:29:57;109.12;
